ticker,date,group,setup_score,risk_score,signals,ret5_pct,ret20_pct,volume_ratio20,ret_1d,ret_5d,ret_20d
3057.TW,2022-04-19,theme,6,0,BASE,0.0,-0.78,0.58,0.39,0.78,-5.08
3057.TW,2022-04-20,theme,6,0,BASE,-1.15,0.0,0.4,-0.78,-2.33,-6.23
3057.TW,2022-04-21,theme,6,0,BASE,-0.39,-0.39,0.69,1.18,-1.96,3.14
3057.TW,2022-04-22,theme,7,0,BASE,1.18,0.78,0.62,-0.78,-1.55,1.94
3057.TW,2022-04-25,theme,6,0,BASE,1.19,-0.39,0.84,0.78,-1.95,0.0
3057.TW,2022-04-26,theme,7,0,BASE,0.78,0.0,0.7,-2.71,-3.1,0.0
3057.TW,2022-04-27,theme,8,1,PULLBACK,-2.33,-1.95,2.35,-0.4,0.0,1.99
3057.TW,2022-04-28,theme,6,0,"BASE,PULLBACK",-1.96,-2.34,0.75,1.6,0.0,2.8
3057.TW,2022-04-29,theme,8,1,PULLBACK,-1.55,-5.22,1.82,-1.18,-1.57,1.57
3057.TW,2022-05-03,theme,6,0,"BASE,PULLBACK",-1.95,-4.2,0.56,-0.4,-1.2,2.79
3057.TW,2022-05-04,theme,6,0,"BASE,PULLBACK",-3.1,-3.47,0.29,0.4,-2.0,4.4
3057.TW,2022-05-05,theme,6,0,"BASE,PULLBACK",0.0,-1.95,0.23,-0.4,-4.38,3.19
3057.TW,2022-05-06,theme,6,0,"BASE,PULLBACK",0.0,-1.19,0.34,0.0,-4.0,4.8
3057.TW,2022-05-09,theme,6,0,"BASE,PULLBACK",-1.57,-1.57,0.74,-0.8,-4.4,4.8
3057.TW,2022-05-10,theme,6,0,"BASE,PULLBACK",-1.2,-4.25,0.66,-1.21,-3.63,6.45
3057.TW,2022-05-11,theme,6,0,"BASE,PULLBACK",-2.0,-4.3,0.56,-2.04,-0.82,8.16
3057.TW,2022-05-12,theme,5,0,PULLBACK,-4.38,-7.69,1.14,0.0,0.42,9.58
3057.TW,2022-05-13,theme,6,0,"BASE,PULLBACK",-4.0,-6.25,0.8,-0.42,9.58,13.33
3057.TW,2022-05-16,theme,6,0,"BASE,PULLBACK",-4.4,-6.27,0.98,0.0,10.04,10.46
3057.TW,2022-05-17,theme,6,0,"BASE,PULLBACK",-3.63,-5.53,0.97,1.67,7.11,9.62
3057.TW,2022-05-18,theme,5,0,PULLBACK,-0.82,-5.08,1.04,-0.82,6.17,8.23
3057.TW,2022-05-19,theme,6,0,"BASE,PULLBACK",0.42,-6.23,0.79,9.13,6.22,8.3
3057.TW,2022-05-20,theme,14,2,"REBREAK,ACCEL",9.58,3.14,4.03,0.0,-2.28,-4.56
3057.TW,2022-05-23,theme,12,0,ACCEL,10.04,1.94,1.72,-2.66,-1.9,-3.42
