date,ticker,name,group,close,ret1_pct,ret5_pct,ret10_pct,ret20_pct,volume,avg_vol20,volume_ratio20,ma20,ma60,ma120,drawdown120_pct,bias20_pct,setup_score,risk_score,signals,score_band,regime,layer,spec_risk_score,spec_risk_label,atr_pct,volatility_tag
2026-04-10,8111.TWO,立碁,theme,65.0,6.56,7.44,2.2,0.15,4722370,2146186,2.2,63.08,65.68,65.12,-16.02,3.04,9,1,NONE,進攻優勢區,還在觀察,,,,,
2026-04-13,8111.TWO,立碁,theme,66.9,2.92,14.16,6.7,4.04,5105234,2317446,2.2,63.21,65.63,65.23,-13.57,5.84,12,1,ACCEL,進攻優勢區,轉強速度有出來,,,,,
2026-04-14,8111.TWO,立碁,theme,68.7,2.69,13.37,10.27,2.54,7138565,2537359,2.81,63.29,65.63,65.34,-11.24,8.54,12,3,ACCEL,進攻優勢區,轉強速度有出來,short_attack,,,,
2026-04-15,8111.TWO,立碁,theme,70.7,2.91,15.71,16.67,3.36,9393594,2849786,3.3,63.41,65.69,65.48,-8.66,11.5,12,3,ACCEL,進攻優勢區,轉強速度有出來,short_attack,5.0,投機偏高,,
2026-04-16,8111.TWO,立碁,theme,72.0,1.84,18.03,24.14,5.88,7140204,2982591,2.39,63.61,65.76,65.64,-6.98,13.19,12,4,ACCEL,進攻優勢區,轉強速度有出來,short_attack,6.0,疑似炒作風險高,,
2026-04-17,8111.TWO,立碁,theme,79.2,10.0,21.85,30.91,20.0,16203235,3640542,4.45,64.27,65.92,65.86,0.0,23.23,13,7,ACCEL,高風險追價區,有點過熱，別硬追,short_attack,8.0,疑似炒作風險高,,
2026-04-20,8111.TWO,立碁,theme,77.6,-2.02,15.99,32.42,18.29,30415544,5022317,6.06,64.87,66.06,66.07,-2.02,19.62,13,5,ACCEL,進攻優勢區,轉強速度有出來,short_attack,8.0,疑似炒作風險高,,
2026-04-21,8111.TWO,立碁,theme,80.9,4.25,17.76,33.5,24.27,10351998,5381846,1.92,65.66,66.29,66.3,0.0,23.21,14,4,"SURGE,ACCEL",進攻優勢區,題材正在發酵,short_attack,6.0,疑似炒作風險高,,
2026-04-22,8111.TWO,立碁,theme,77.0,-4.82,8.91,26.02,23.2,8447273,5717536,1.48,66.38,66.43,66.49,-4.82,15.99,11,3,ACCEL,進攻優勢區,轉強速度有出來,short_attack,2.0,正常,5.81,活潑
2026-04-23,8111.TWO,立碁,theme,71.0,-7.79,-1.39,16.39,16.97,10578266,6168796,1.71,66.9,66.49,66.62,-12.24,6.13,10,0,"TREND,ACCEL",進攻優勢區,轉強速度有出來,short_attack,0.0,正常,6.75,劇烈
